,open,high,low,close,volume,value
2025-08-28 20:00:00,157395000.0,157396000.0,157000000.0,157065000.0,31.71415586,4985268946.57971
2025-08-28 21:00:00,157108000.0,157350000.0,156770000.0,157348000.0,56.2644415,8837992776.0629
2025-08-28 22:00:00,157348000.0,157542000.0,156722000.0,156978000.0,66.69202506,10478816350.44372
2025-08-28 23:00:00,156978000.0,157500000.0,156845000.0,157341000.0,67.98192004,10686076012.40076
2025-08-29 00:00:00,157346000.0,157500000.0,156759000.0,157195000.0,65.93122971,10355458246.20671
2025-08-29 01:00:00,157195000.0,157597000.0,156873000.0,156967000.0,35.34070537,5560210537.65662
2025-08-29 02:00:00,156873000.0,157008000.0,156610000.0,156658000.0,32.60868744,5113527808.18479
2025-08-29 03:00:00,156658000.0,157074000.0,156500000.0,156647000.0,15.13989788,2372413201.65066
2025-08-29 04:00:00,156609000.0,156959000.0,156322000.0,156324000.0,18.5326286,2900193842.31253
2025-08-29 05:00:00,156324000.0,156615000.0,156320000.0,156482000.0,21.13262619,3306012342.82075
2025-08-29 06:00:00,156482000.0,156632000.0,156320000.0,156551000.0,21.95442846,3434729802.42279
2025-08-29 07:00:00,156551000.0,157000000.0,156514000.0,156699000.0,27.64480276,4334876755.8495
2025-08-29 08:00:00,156696000.0,156820000.0,156571000.0,156737000.0,35.19221408,5514763686.63054
2025-08-29 09:00:00,156737000.0,157080000.0,156550000.0,156583000.0,55.48952129,8701435881.19878
2025-08-29 10:00:00,156582000.0,156605000.0,155800000.0,155991000.0,87.06113738,13588828709.06748
2025-08-29 11:00:00,155990000.0,156151000.0,155723000.0,155759000.0,51.75886597,8068840171.02883
2025-08-29 12:00:00,155754000.0,155900000.0,155638000.0,155850000.0,51.34629237,7999518406.08599
2025-08-29 13:00:00,155865000.0,155900000.0,155298000.0,155298000.0,78.44399136,12203344889.34523
2025-08-29 14:00:00,155298000.0,155302000.0,154850000.0,154989000.0,129.74345837,20115466619.09201
2025-08-29 15:00:00,154989000.0,155096000.0,154500000.0,155007000.0,138.78489341,21482412462.46553
2025-08-29 16:00:00,155007000.0,155076000.0,153800000.0,153898000.0,273.04650399,42093474134.04043
2025-08-29 17:00:00,153832000.0,154068000.0,153170000.0,153185000.0,174.79715708,26854866045.59211
2025-08-29 18:00:00,153185000.0,153461000.0,153000000.0,153410000.0,186.09812346,28490818842.29129
2025-08-29 19:00:00,153410000.0,154149000.0,153389000.0,153966000.0,86.25930969,13266473719.05771
2025-08-29 20:00:00,153966000.0,154000000.0,153574000.0,153650000.0,54.54730793,8387803854.84412
2025-08-29 21:00:00,153620000.0,155816000.0,153613000.0,154695000.0,201.582781,31190269955.78746
2025-08-29 22:00:00,154695000.0,154695000.0,152550000.0,152611000.0,256.26166459,39278299657.97115
2025-08-29 23:00:00,152611000.0,153004000.0,151560000.0,151578000.0,416.11428724,63337747305.0799
2025-08-30 00:00:00,151560000.0,152261000.0,151556000.0,151941000.0,163.6841682,24861741317.14359
2025-08-30 01:00:00,151942000.0,152364000.0,151690000.0,152325000.0,64.68895555,9836127546.89949
2025-08-30 02:00:00,152325000.0,152325000.0,151800000.0,152163000.0,36.20349038,5504576849.66959
2025-08-30 03:00:00,152132000.0,152148000.0,151782000.0,151874000.0,36.08881252,5482450523.22371
2025-08-30 04:00:00,151874000.0,152338000.0,151700000.0,151834000.0,33.56930928,5103220272.81209
2025-08-30 05:00:00,151834000.0,151875000.0,151116000.0,151415000.0,125.65626458,19029603706.4147
2025-08-30 06:00:00,151415000.0,152166000.0,151100000.0,152166000.0,91.90170076,13926236493.63847
2025-08-30 07:00:00,152166000.0,152280000.0,152000000.0,152188000.0,62.97585736,9580269638.24652
2025-08-30 08:00:00,152188000.0,152479000.0,152145000.0,152262000.0,60.26364189,9181499899.92085
2025-08-30 09:00:00,152262000.0,152267000.0,151405000.0,151549000.0,118.00895992,17913647369.3085
2025-08-30 10:00:00,151549000.0,151550000.0,149888000.0,149891000.0,476.52997362,71686020692.28589
2025-08-30 11:00:00,149891000.0,150469000.0,149704000.0,150257000.0,226.83084569,34078037038.27131
2025-08-30 12:00:00,150257000.0,152000000.0,150182000.0,151424000.0,219.51066338,33202560001.24003
2025-08-30 13:00:00,151423000.0,151900000.0,151406000.0,151479000.0,59.5300848,9028784962.7396
2025-08-30 14:00:00,151479000.0,151691000.0,151080000.0,151654000.0,64.00264811,9687421957.10611
2025-08-30 15:00:00,151607000.0,151850000.0,151433000.0,151452000.0,49.28248838,7469944311.51577
2025-08-30 16:00:00,151449000.0,151485000.0,151265000.0,151484000.0,50.47893446,7643520626.32263
2025-08-30 17:00:00,151478000.0,151837000.0,151439000.0,151475000.0,40.36358682,6119694624.95384
2025-08-30 18:00:00,151475000.0,151475000.0,151231000.0,151413000.0,31.43516782,4757137332.14224
2025-08-30 19:00:00,151413000.0,151770000.0,151399000.0,151400000.0,38.01102429,5760180898.61534
2025-08-30 20:00:00,151399000.0,151830000.0,151367000.0,151826000.0,24.26852026,3679162170.92793
2025-08-30 21:00:00,151829000.0,151830000.0,151229000.0,151500000.0,46.20903683,6998954029.15624
2025-08-30 22:00:00,151500000.0,151500000.0,150938000.0,151200000.0,68.36835856,10333934716.73916
2025-08-30 23:00:00,151200000.0,151499000.0,151098000.0,151447000.0,26.23849348,3968223659.31852
2025-08-31 00:00:00,151447000.0,151800000.0,151163000.0,151800000.0,30.59250427,4635977841.42416
2025-08-31 01:00:00,151800000.0,151813000.0,151599000.0,151734000.0,14.12392497,2143459916.17573
2025-08-31 02:00:00,151798000.0,151798000.0,151501000.0,151624000.0,9.60405372,1456903863.21851
2025-08-31 03:00:00,151624000.0,151726000.0,151440000.0,151615000.0,6.60896596,1001506542.56223
2025-08-31 04:00:00,151615000.0,151784000.0,151450000.0,151696000.0,5.39097696,817557866.98079
2025-08-31 05:00:00,151696000.0,151784000.0,151394000.0,151566000.0,10.25352828,1553809060.12983
2025-08-31 06:00:00,151577000.0,151586000.0,151350000.0,151472000.0,7.75407562,1174423119.70024
2025-08-31 07:00:00,151472000.0,151533000.0,151370000.0,151441000.0,14.4069386,2182054197.2235
2025-08-31 08:00:00,151440000.0,151750000.0,151440000.0,151734000.0,23.1152831,3505261576.10061
2025-08-31 09:00:00,151734000.0,152960000.0,151716000.0,152932000.0,136.97452169,20885970792.36
2025-08-31 10:00:00,152931000.0,152955000.0,152400000.0,152852000.0,94.47779343,14429435169.92309
