,open,high,low,close,volume,value
2026-01-10 13:25:00,200300.0,200300.0,200100.0,200100.0,408.05469584,81674438.143758
2026-01-10 13:30:00,200100.0,200400.0,200100.0,200200.0,272.84347742,54633196.460643
2026-01-10 13:35:00,200400.0,200400.0,200100.0,200100.0,230.83677667,46200411.040453
2026-01-10 13:40:00,200100.0,200400.0,200000.0,200400.0,228.31150239,45712507.292883
2026-01-10 13:45:00,200400.0,200400.0,200300.0,200300.0,55.35248811,11088172.905632
2026-01-10 13:50:00,200300.0,200400.0,200100.0,200200.0,187.06677059,37457064.979842
2026-01-10 13:55:00,200200.0,200400.0,200200.0,200200.0,114.90124266,23007294.745328
2026-01-10 14:00:00,200200.0,200400.0,200100.0,200200.0,239.92912748,48021464.570624
2026-01-10 14:05:00,200100.0,200400.0,200000.0,200400.0,586.22083658,117308288.611033
2026-01-10 14:10:00,200400.0,200400.0,200200.0,200300.0,231.74597731,46424596.81842
2026-01-10 14:15:00,200300.0,200400.0,200200.0,200400.0,259.13730868,51893908.821229
2026-01-10 14:20:00,200400.0,200400.0,200200.0,200400.0,115.06922015,23047862.216617
2026-01-10 14:25:00,200200.0,200400.0,200200.0,200400.0,119.12049981,23860047.527252
2026-01-10 14:30:00,200400.0,200400.0,200200.0,200200.0,171.88519448,34434696.032448
2026-01-10 14:35:00,200300.0,200600.0,200200.0,200600.0,536.89014522,107580846.821957
2026-01-10 14:40:00,200600.0,200700.0,200400.0,200600.0,728.5887731,146125064.067623
2026-01-10 14:45:00,200600.0,200600.0,200400.0,200600.0,52.49923858,10527556.428551
2026-01-10 14:50:00,200600.0,200600.0,200400.0,200500.0,75.86371912,15215339.779745
2026-01-10 14:55:00,200600.0,200600.0,200300.0,200300.0,370.34223672,74234336.789963
2026-01-10 15:00:00,200300.0,200400.0,200200.0,200200.0,224.24247804,44901102.039249
2026-01-10 15:05:00,200300.0,200300.0,200200.0,200300.0,364.8840118,73052803.44412
2026-01-10 15:10:00,200300.0,200500.0,200200.0,200200.0,411.15554697,82363204.908787
2026-01-10 15:15:00,200400.0,200400.0,200200.0,200300.0,164.30014753,32905943.694317
2026-01-10 15:20:00,200200.0,200300.0,200100.0,200200.0,235.47910604,47145039.136756
2026-01-10 15:25:00,200200.0,200300.0,200200.0,200300.0,640.2367787,128195074.704889
2026-01-10 15:30:00,200300.0,200400.0,200200.0,200400.0,646.78702447,129574568.703604
2026-01-10 15:35:00,200400.0,200500.0,200300.0,200500.0,579.72972487,116179675.433494
2026-01-10 15:40:00,200500.0,200500.0,200300.0,200500.0,203.45116029,40769445.329721
2026-01-10 15:45:00,200400.0,200600.0,200400.0,200600.0,279.57100985,56058311.021028
2026-01-10 15:50:00,200600.0,200600.0,200500.0,200600.0,165.83710537,33260753.590511
2026-01-10 15:55:00,200500.0,200600.0,200500.0,200600.0,189.76740362,38057005.616384
2026-01-10 16:00:00,200400.0,200500.0,200400.0,200500.0,92.08533945,18456012.17246
2026-01-10 16:05:00,200500.0,200600.0,200500.0,200600.0,133.15277986,26702538.768469
2026-01-10 16:10:00,200600.0,200800.0,200600.0,200700.0,516.62367385,103683958.387637
2026-01-10 16:15:00,200700.0,200700.0,200500.0,200500.0,315.44251844,63282018.161253
2026-01-10 16:20:00,200700.0,200700.0,200500.0,200600.0,183.44198867,36793806.896399
2026-01-10 16:25:00,200500.0,200700.0,200500.0,200500.0,184.29746372,36971502.408712
2026-01-10 16:30:00,200600.0,200700.0,200500.0,200600.0,267.41071087,53635294.68613
2026-01-10 16:35:00,200600.0,200700.0,200500.0,200500.0,139.05261524,27887404.354266
2026-01-10 16:40:00,200600.0,200600.0,200400.0,200500.0,476.08099187,95450979.394173
2026-01-10 16:45:00,200400.0,200600.0,200400.0,200500.0,176.84197007,35449527.036316
2026-01-10 16:50:00,200500.0,200600.0,200400.0,200500.0,122.43591348,24555325.688007
2026-01-10 16:55:00,200500.0,200600.0,200400.0,200500.0,482.92420569,96821438.083123
2026-01-10 17:00:00,200600.0,200700.0,200500.0,200600.0,170.57479976,34213139.733178
2026-01-10 17:05:00,200600.0,200700.0,200500.0,200600.0,423.34502028,84936022.529524
2026-01-10 17:10:00,200600.0,200700.0,200600.0,200700.0,144.22493737,28941310.762134
2026-01-10 17:15:00,200700.0,200800.0,200600.0,200800.0,329.29451346,66098051.136779
2026-01-10 17:20:00,200800.0,200800.0,200700.0,200700.0,133.64780403,26831083.423469
2026-01-10 17:25:00,200800.0,200800.0,200700.0,200700.0,210.10275731,42177823.033261
2026-01-10 17:30:00,200700.0,200700.0,200600.0,200600.0,205.44354374,41215072.280244
2026-01-10 17:35:00,200600.0,200800.0,200500.0,200800.0,238.77954596,47907724.075568
2026-01-10 17:40:00,200700.0,200700.0,200600.0,200600.0,78.29159883,15707355.718436
2026-01-10 17:45:00,200700.0,200800.0,200600.0,200800.0,249.15486931,50002184.897323
2026-01-10 17:50:00,200700.0,200800.0,200700.0,200800.0,119.77250717,24045032.924405
2026-01-10 17:55:00,200800.0,200800.0,200600.0,200700.0,468.67679037,94051869.275905
2026-01-10 18:00:00,200700.0,200900.0,200700.0,200800.0,589.53567241,118381531.319389
2026-01-10 18:05:00,200800.0,200900.0,200700.0,200800.0,402.17506551,80775425.392422
2026-01-10 18:10:00,200800.0,200800.0,200700.0,200800.0,130.54313312,26201026.764619
2026-01-10 18:15:00,200700.0,200800.0,200600.0,200600.0,154.95940815,31100854.674786
2026-01-10 18:20:00,200700.0,200800.0,200600.0,200600.0,107.07203001,21487881.512014
2026-01-10 18:25:00,200700.0,200900.0,200600.0,200900.0,222.27483617,44626081.562594
2026-01-10 18:30:00,200900.0,200900.0,200800.0,200900.0,109.3786055,21967078.478957
2026-01-10 18:35:00,200900.0,200900.0,200800.0,200900.0,717.40624204,144072226.171363
2026-01-10 18:40:00,200900.0,201000.0,200800.0,200800.0,552.37252347,110970710.867641
2026-01-10 18:45:00,200800.0,201200.0,200800.0,201100.0,714.98260464,143762985.51839
2026-01-10 18:50:00,201100.0,201300.0,201000.0,201300.0,555.67559445,111804285.921239
2026-01-10 18:55:00,201200.0,201700.0,201200.0,201700.0,2754.13242753,555214534.269105
2026-01-10 19:00:00,201600.0,201700.0,201300.0,201400.0,1149.48115868,231578979.678132
2026-01-10 19:05:00,201500.0,201500.0,201300.0,201500.0,584.68076552,117786120.225626
2026-01-10 19:10:00,201400.0,201600.0,201400.0,201500.0,135.57001226,27314585.175323
2026-01-10 19:15:00,201500.0,201600.0,201300.0,201300.0,151.01271238,30415671.240208
2026-01-10 19:20:00,201500.0,201500.0,201200.0,201300.0,281.54669571,56684579.30443
2026-01-10 19:25:00,201200.0,201300.0,201200.0,201300.0,878.33716063,176744923.749154
2026-01-10 19:30:00,201200.0,201300.0,201200.0,201300.0,488.15684838,98238540.036624
2026-01-10 19:35:00,201300.0,201500.0,201300.0,201500.0,204.20342861,41139171.195607
2026-01-10 19:40:00,201500.0,201800.0,201400.0,201700.0,700.79770372,141263921.306935
2026-01-10 19:45:00,201700.0,201900.0,201700.0,201900.0,649.98568332,131186060.761423
2026-01-10 19:50:00,201900.0,202100.0,201800.0,202100.0,807.15527824,163006505.621461
2026-01-10 19:55:00,202100.0,202100.0,202000.0,202100.0,1077.15136875,217683053.886784
2026-01-10 20:00:00,202000.0,202100.0,201700.0,201700.0,1482.72531272,299384205.020761
2026-01-10 20:05:00,201700.0,201900.0,201600.0,201700.0,693.33231734,139841014.363455
2026-01-10 20:10:00,201800.0,201900.0,201700.0,201900.0,439.18184914,88634123.334975
2026-01-10 20:15:00,201900.0,201900.0,201800.0,201900.0,228.69802447,46155624.020313
2026-01-10 20:20:00,201900.0,201900.0,201600.0,201800.0,133.31838147,26890753.161101
2026-01-10 20:25:00,201700.0,201800.0,201500.0,201500.0,479.39804498,96640876.230235
2026-01-10 20:30:00,201600.0,201700.0,201500.0,201500.0,516.20049261,104032896.416489
2026-01-10 20:35:00,201400.0,201500.0,201300.0,201300.0,307.61065927,61938168.171587
2026-01-10 20:40:00,201300.0,201400.0,201200.0,201300.0,470.27200181,94654761.457803
2026-01-10 20:45:00,201200.0,201200.0,201000.0,201100.0,397.58556642,79937952.101805
2026-01-10 20:50:00,201100.0,201300.0,201000.0,201200.0,426.47781014,85807604.303864
2026-01-10 20:55:00,201200.0,201400.0,201200.0,201200.0,307.40977712,61860108.920582
2026-01-10 21:00:00,201300.0,201600.0,201200.0,201600.0,234.6009816,47245984.447046
2026-01-10 21:05:00,201500.0,201600.0,201400.0,201400.0,212.12196071,42727408.665894
2026-01-10 21:10:00,201400.0,201500.0,201300.0,201400.0,260.96810989,52564397.599036
2026-01-10 21:15:00,201400.0,201700.0,201400.0,201700.0,298.11618289,60087573.918609
2026-01-10 21:20:00,201700.0,201800.0,201500.0,201700.0,549.23930246,110769585.042365
2026-01-10 21:25:00,201800.0,201800.0,201500.0,201700.0,135.71373333,27369256.424613
2026-01-10 21:30:00,201600.0,201600.0,201300.0,201400.0,381.19788315,76785995.742833
2026-01-10 21:35:00,201400.0,201500.0,201300.0,201400.0,283.35880995,57058571.449093
2026-01-10 21:40:00,201400.0,201400.0,201200.0,201200.0,86.16866858,17344452.056955
2026-01-10 21:45:00,201300.0,201400.0,201200.0,201300.0,345.90399044,69614246.418072
2026-01-10 21:50:00,201400.0,201600.0,201300.0,201500.0,99.44585054,20030564.677717
2026-01-10 21:55:00,201600.0,201600.0,201300.0,201400.0,193.76210805,39029164.25615
2026-01-10 22:00:00,201300.0,201400.0,201200.0,201200.0,330.08334409,66420453.226691
2026-01-10 22:05:00,201200.0,201300.0,201100.0,201300.0,71.03191256,14293646.684981
2026-01-10 22:10:00,201300.0,201300.0,201100.0,201100.0,1145.49953342,230427168.395853
2026-01-10 22:15:00,201100.0,201300.0,201000.0,201300.0,598.37088407,120311471.797642
2026-01-10 22:20:00,201300.0,201300.0,200800.0,201000.0,607.66245079,122129194.182479
2026-01-10 22:25:00,201000.0,201000.0,200700.0,201000.0,769.68978342,154566280.648638
2026-01-10 22:30:00,201000.0,201100.0,200900.0,201100.0,175.64337361,35302356.076542
2026-01-10 22:35:00,201100.0,201200.0,201000.0,201100.0,116.52621831,23435408.74935
2026-01-10 22:40:00,201200.0,201300.0,201000.0,201000.0,159.89759512,32162223.109787
2026-01-10 22:45:00,201200.0,201200.0,201000.0,201200.0,256.02343565,51485873.206468
2026-01-10 22:50:00,201200.0,201200.0,201000.0,201200.0,104.41394484,20994933.060994
2026-01-10 22:55:00,201200.0,201200.0,200900.0,201000.0,361.45590599,72681019.324712
2026-01-10 23:00:00,201000.0,201000.0,200700.0,200800.0,561.56218286,112745190.353355
2026-01-10 23:05:00,200700.0,201000.0,200600.0,200900.0,674.09749801,135336135.675334
2026-01-10 23:10:00,200900.0,200900.0,200600.0,200900.0,304.79923734,61170107.002182
2026-01-10 23:15:00,200800.0,201000.0,200800.0,200900.0,532.84876712,107025630.371241
2026-01-10 23:20:00,200900.0,201200.0,200900.0,201100.0,149.22463743,30007196.104065
2026-01-10 23:25:00,201100.0,201100.0,201000.0,201000.0,68.09182191,13692775.123236
2026-01-10 23:30:00,201000.0,201100.0,200800.0,201000.0,314.27751946,63153518.952226
2026-01-10 23:35:00,201000.0,201000.0,200800.0,200900.0,109.07867102,21913966.991165
2026-01-10 23:40:00,201000.0,201000.0,200500.0,200700.0,361.87616732,72599102.85902
2026-01-10 23:45:00,200700.0,200800.0,200500.0,200500.0,112.97961835,22670453.233694
2026-01-10 23:50:00,200600.0,200700.0,200400.0,200400.0,232.16018038,46553046.527064
2026-01-10 23:55:00,200400.0,200700.0,200400.0,200700.0,689.08695326,138174291.772179
2026-01-11 00:00:00,200700.0,200800.0,200500.0,200800.0,118.17946178,23714958.143201
2026-01-11 00:05:00,200800.0,200800.0,200600.0,200800.0,283.948484,56983190.606082
2026-01-11 00:10:00,200800.0,200900.0,200700.0,200900.0,88.86653563,17848462.121506
2026-01-11 00:15:00,200900.0,200900.0,200700.0,200900.0,85.94088521,17256620.19855
2026-01-11 00:20:00,200900.0,200900.0,200600.0,200600.0,225.83291292,45317636.18476
2026-01-11 00:25:00,200700.0,200800.0,200600.0,200800.0,48.0505525,9642586.980925
2026-01-11 00:30:00,200800.0,201300.0,200700.0,201100.0,192.47641139,38688058.740523
2026-01-11 00:35:00,201100.0,201200.0,200900.0,201100.0,66.78225515,13425933.527172
2026-01-11 00:40:00,201100.0,201200.0,200900.0,201200.0,80.78434972,16246346.51712
2026-01-11 00:45:00,201200.0,201200.0,201000.0,201100.0,100.3461178,20180876.141713
2026-01-11 00:50:00,201100.0,201300.0,201100.0,201300.0,177.8200426,35773581.226112
2026-01-11 00:55:00,201300.0,201300.0,201100.0,201200.0,126.92377023,25544732.595622
2026-01-11 01:00:00,201100.0,201200.0,201100.0,201100.0,97.85592686,19680423.67054
2026-01-11 01:05:00,201200.0,201200.0,200900.0,201100.0,154.09047094,30982165.748558
2026-01-11 01:10:00,201100.0,201100.0,200900.0,201000.0,156.27298779,31405603.563118
2026-01-11 01:15:00,200900.0,201000.0,200800.0,201000.0,109.95031036,22087725.284751
2026-01-11 01:20:00,201000.0,201000.0,200800.0,200900.0,154.36043856,31001593.365342
2026-01-11 01:25:00,200900.0,201100.0,200900.0,201100.0,155.8298279,31323128.314066
2026-01-11 01:30:00,201000.0,201100.0,201000.0,201100.0,143.46822672,28846958.353792
2026-01-11 01:35:00,201100.0,201400.0,201100.0,201300.0,143.53390765,28893177.29774
2026-01-11 01:40:00,201300.0,201400.0,201200.0,201300.0,54.04366448,10876675.63257
2026-01-11 01:45:00,201300.0,201300.0,201000.0,201000.0,9.01586811,1814229.598327
2026-01-11 01:50:00,201200.0,201200.0,201000.0,201200.0,73.25197432,14729309.275928
2026-01-11 01:55:00,201200.0,201200.0,201000.0,201200.0,6.92499093,1392632.420654
2026-01-11 02:00:00,201200.0,201200.0,201100.0,201100.0,55.42863083,11148870.150394
2026-01-11 02:05:00,201200.0,201300.0,201100.0,201200.0,42.57729551,8566560.870791
2026-01-11 02:10:00,201200.0,201200.0,201000.0,201200.0,233.44103689,46946398.82598
2026-01-11 02:15:00,201200.0,201300.0,201100.0,201300.0,36.682633,7380083.226161
2026-01-11 02:20:00,201300.0,201300.0,201300.0,201300.0,25.35080959,5103117.970467
2026-01-11 02:25:00,201200.0,201300.0,201200.0,201300.0,178.30395176,35881417.788763
2026-01-11 02:30:00,201300.0,201300.0,201000.0,201200.0,79.9234977,16073365.791353
2026-01-11 02:35:00,201200.0,201300.0,201200.0,201300.0,63.2728821,12731810.685506
