,open,high,low,close,volume,value
2025-01-15 09:00:00,3960.0,4690.0,3932.0,4617.0,967744296.2404122,4124511037252.9287
2025-01-16 09:00:00,4620.0,4973.0,4292.0,4758.0,1054367355.0701892,4938368109769.205
2025-01-17 09:00:00,4756.0,4935.0,4700.0,4820.0,405691869.3120251,1957550769643.0327
2025-01-18 09:00:00,4822.0,4890.0,4578.0,4865.0,386724787.92165303,1831978564610.7302
2025-01-19 09:00:00,4865.0,4885.0,4319.0,4510.0,446184003.5765529,2090249436450.0515
2025-01-20 09:00:00,4512.0,4984.0,4433.0,4656.0,777588794.1270126,3712444115506.478
2025-01-21 09:00:00,4656.0,4797.0,4551.0,4707.0,321665579.191925,1501774799482.713
2025-01-22 09:00:00,4709.0,4850.0,4693.0,4749.0,220103414.1354887,1046808983412.5977
2025-01-23 09:00:00,4747.0,4752.0,4562.0,4652.0,211442106.38979518,985885770854.9667
2025-01-24 09:00:00,4652.0,4765.0,4570.0,4653.0,199872038.01228294,934936305143.9065
2025-01-25 09:00:00,4653.0,4708.0,4645.0,4669.0,68089739.51709607,318554365283.22845
2025-01-26 09:00:00,4668.0,4704.0,4586.0,4610.0,79042452.32763882,368788101033.69324
2025-01-27 09:00:00,4607.0,4638.0,4197.0,4634.0,490726553.0543536,2170658778556.7957
2025-01-28 09:00:00,4634.0,4843.0,4554.0,4710.0,291310227.7115142,1377853967848.982
2025-01-29 09:00:00,4710.0,4768.0,4612.0,4706.0,150051096.3704598,705976483812.9282
2025-01-30 09:00:00,4707.0,4758.0,4683.0,4721.0,113116588.08588693,534096445762.40784
2025-01-31 09:00:00,4721.0,4732.0,4605.0,4639.0,123130115.39562789,575664941448.5814
2025-02-01 09:00:00,4639.0,4687.0,4409.0,4500.0,135352322.54638684,618152607513.1969
2025-02-02 09:00:00,4500.0,4600.0,3954.0,4068.0,575220922.8362072,2439662205643.2817
2025-02-03 09:00:00,4069.0,4349.0,3133.0,4218.0,1952574867.8873613,7285249705740.782
2025-02-04 09:00:00,4218.0,4349.0,3856.0,3984.0,683566857.5320965,2777873089448.5005
2025-02-05 09:00:00,3984.0,4035.0,3701.0,3732.0,319513109.781148,1239799160902.567
2025-02-06 09:00:00,3733.0,3832.0,3563.0,3644.0,311085737.7570076,1152392959606.138
2025-02-07 09:00:00,3646.0,3918.0,3497.0,3715.0,444633031.9814134,1647299390041.2168
2025-02-08 09:00:00,3713.0,3759.0,3635.0,3729.0,142728003.3635483,528709509152.6691
2025-02-09 09:00:00,3729.0,3848.0,3573.0,3661.0,208085335.0942939,775093769121.4069
2025-02-10 09:00:00,3661.0,3745.0,3557.0,3675.0,175675430.7587021,642502740652.7002
2025-02-11 09:00:00,3675.0,3810.0,3626.0,3681.0,176394125.30685115,658064801104.8533
2025-02-12 09:00:00,3680.0,3768.0,3562.0,3737.0,200345174.46846333,732234357440.1161
2025-02-13 09:00:00,3737.0,3922.0,3658.0,3858.0,173584832.45236552,652419875985.7947
2025-02-14 09:00:00,3859.0,4239.0,3813.0,4118.0,364099222.50588524,1473801456865.86
2025-02-15 09:00:00,4118.0,4263.0,4098.0,4172.0,173140901.21749416,725927439789.724
2025-02-16 09:00:00,4174.0,4220.0,4070.0,4131.0,111485665.55770928,463078269246.8075
2025-02-17 09:00:00,4132.0,4160.0,3946.0,4008.0,152663580.64191464,617118869396.494
2025-02-18 09:00:00,4009.0,4020.0,3736.0,3853.0,205126787.74437237,795249352453.4962
2025-02-19 09:00:00,3852.0,4105.0,3764.0,4088.0,194453828.16941366,758626984981.0024
2025-02-20 09:00:00,4088.0,4104.0,3962.0,3981.0,140932844.7850717,565803243674.6154
2025-02-21 09:00:00,3981.0,4000.0,3731.0,3816.0,188636026.8017316,731784624451.8339
2025-02-22 09:00:00,3816.0,3855.0,3777.0,3796.0,75510107.89645922,287765124365.6191
2025-02-23 09:00:00,3796.0,3830.0,3702.0,3779.0,94931510.18814835,357466647597.57214
2025-02-24 09:00:00,3779.0,3820.0,3251.0,3294.0,414134153.1135956,1455034083114.116
2025-02-25 09:00:00,3294.0,3450.0,2986.0,3391.0,913037128.2450421,2930518030031.989
2025-02-26 09:00:00,3391.0,3408.0,3151.0,3205.0,305875558.64111066,1002907082138.6019
2025-02-27 09:00:00,3205.0,3305.0,3141.0,3222.0,232651909.7295862,748846030507.1982
2025-02-28 09:00:00,3223.0,3228.0,2914.0,3163.0,525863921.3520625,1606565840472.3784
2025-03-01 09:00:00,3163.0,3303.0,3121.0,3263.0,200253635.65696487,645242991887.1228
2025-03-02 09:00:00,3263.0,4465.0,3232.0,4440.0,880397091.5235032,3495818752285.634
2025-03-03 09:00:00,4439.0,4488.0,3452.0,3602.0,786924044.2057604,3115051731308.9795
2025-03-04 09:00:00,3602.0,3812.0,3338.0,3668.0,681441124.2799711,2431883180329.4756
2025-03-05 09:00:00,3668.0,3802.0,3606.0,3723.0,282965967.41507983,1050384369237.3569
2025-03-06 09:00:00,3723.0,3933.0,3677.0,3866.0,307292274.33957076,1175707355002.3352
2025-03-07 09:00:00,3865.0,3906.0,3506.0,3559.0,487202741.9843487,1794746040401.023
2025-03-08 09:00:00,3559.0,3601.0,3429.0,3472.0,188813698.41686562,661396717254.1158
2025-03-09 09:00:00,3474.0,3502.0,3130.0,3207.0,349550347.65419704,1152692457961.4033
2025-03-10 09:00:00,3207.0,3364.0,3000.0,3025.0,490522818.5062992,1559187306657.1973
2025-03-11 09:00:00,3024.0,3284.0,2853.0,3226.0,550747559.4382727,1696342374043.5205
2025-03-12 09:00:00,3226.0,3378.0,3185.0,3314.0,362269518.0313347,1185846347750.9038
2025-03-13 09:00:00,3314.0,3477.0,3284.0,3336.0,281896923.813503,948700191345.8395
2025-03-14 09:00:00,3336.0,3514.0,3312.0,3473.0,172788543.59058523,592084445650.6193
2025-03-15 09:00:00,3473.0,3649.0,3466.0,3517.0,202183538.5627991,719416713804.6445
2025-03-16 09:00:00,3518.0,3550.0,3346.0,3379.0,203743666.80317175,699942639924.4647
2025-03-17 09:00:00,3379.0,3473.0,3375.0,3421.0,117901698.51576453,404258801820.0648
2025-03-18 09:00:00,3422.0,3425.0,3278.0,3348.0,163890823.2857856,546992006290.12476
2025-03-19 09:00:00,3348.0,3808.0,3314.0,3730.0,516088732.7398629,1876313803636.519
2025-03-20 09:00:00,3729.0,3751.0,3540.0,3591.0,256944199.33943605,936001004956.4854
2025-03-21 09:00:00,3591.0,3634.0,3490.0,3528.0,151471187.67422253,537975759226.92303
2025-03-22 09:00:00,3527.0,3562.0,3498.0,3510.0,75914345.60158725,267744337188.53625
2025-03-23 09:00:00,3509.0,3598.0,3498.0,3594.0,87419081.91311824,310419769269.88464
2025-03-24 09:00:00,3594.0,3693.0,3563.0,3606.0,137682762.6121261,498483292969.56714
2025-03-25 09:00:00,3606.0,3646.0,3553.0,3607.0,97935278.95778222,352541604922.89307
2025-03-26 09:00:00,3607.0,3649.0,3448.0,3481.0,135672524.34753892,483875182207.58167
2025-03-27 09:00:00,3480.0,3529.0,3408.0,3452.0,103931534.23405986,360888612994.47516
2025-03-28 09:00:00,3454.0,3457.0,3216.0,3292.0,194955511.7298219,646856246513.5906
2025-03-29 09:00:00,3291.0,3318.0,3067.0,3185.0,219198180.43868965,693290421255.6864
2025-03-30 09:00:00,3186.0,3312.0,3160.0,3190.0,135782570.57881206,438354333304.4217
2025-03-31 09:00:00,3192.0,3200.0,3022.0,3116.0,203767015.56946582,633174662640.884
2025-04-01 09:00:00,3117.0,3269.0,3072.0,3178.0,179842765.8098933,570979429987.1425
2025-04-02 09:00:00,3180.0,3289.0,2955.0,3010.0,270714312.14676565,840212508157.9557
2025-04-03 09:00:00,3010.0,3086.0,2922.0,3056.0,200343396.52797556,602932785840.772
2025-04-04 09:00:00,3056.0,3189.0,2994.0,3130.0,202017854.84745413,622712844425.9474
2025-04-05 09:00:00,3131.0,3209.0,3117.0,3166.0,79327039.12293883,250534119637.95453
2025-04-06 09:00:00,3166.0,3185.0,2800.0,2880.0,255543834.8593653,758451437561.8468
