,open,high,low,close,volume,value
2026-01-10 13:25:00,3074.0,3075.0,3072.0,3072.0,185099.43814784,568848279.0112324
2026-01-10 13:30:00,3073.0,3075.0,3072.0,3072.0,83995.34661603,258120100.5589815
2026-01-10 13:35:00,3073.0,3073.0,3071.0,3073.0,113181.77519433,347680908.5578099
2026-01-10 13:40:00,3073.0,3079.0,3073.0,3077.0,168503.47630613,518262177.0731339
2026-01-10 13:45:00,3077.0,3079.0,3077.0,3078.0,86530.33720838,266303542.73236218
2026-01-10 13:50:00,3078.0,3079.0,3075.0,3076.0,137475.47381341,423084841.21967196
2026-01-10 13:55:00,3076.0,3076.0,3072.0,3073.0,60569.19109285,186156097.65544334
2026-01-10 14:00:00,3072.0,3073.0,3066.0,3066.0,521791.63664542,1601630180.6666594
2026-01-10 14:05:00,3067.0,3071.0,3065.0,3071.0,267014.54150944,819168846.652231
2026-01-10 14:10:00,3071.0,3076.0,3070.0,3076.0,86517.46795058,265927341.05080375
2026-01-10 14:15:00,3076.0,3077.0,3073.0,3074.0,52401.40819465,161152818.85743946
2026-01-10 14:20:00,3074.0,3077.0,3073.0,3073.0,77444.19957698,238089582.24073228
2026-01-10 14:25:00,3074.0,3078.0,3073.0,3075.0,54267.24231408,166894067.32628053
2026-01-10 14:30:00,3074.0,3075.0,3072.0,3073.0,52157.58397069,160308395.88453147
2026-01-10 14:35:00,3073.0,3080.0,3073.0,3078.0,154501.23979264,475336918.1287764
2026-01-10 14:40:00,3078.0,3080.0,3077.0,3079.0,88223.43750264,271638079.08831245
2026-01-10 14:45:00,3080.0,3082.0,3079.0,3080.0,72336.66767037,222817960.6203406
2026-01-10 14:50:00,3080.0,3081.0,3078.0,3079.0,93452.23492178,287713361.8916131
2026-01-10 14:55:00,3079.0,3083.0,3079.0,3079.0,136930.26566629,421779831.15477645
2026-01-10 15:00:00,3080.0,3080.0,3078.0,3079.0,36917.10188114,113673525.74163216
2026-01-10 15:05:00,3080.0,3081.0,3079.0,3080.0,53713.54119542,165418654.50006193
2026-01-10 15:10:00,3080.0,3082.0,3079.0,3081.0,43335.4109065,133491947.62847272
2026-01-10 15:15:00,3081.0,3081.0,3075.0,3076.0,118231.83444086,363984392.652158
2026-01-10 15:20:00,3075.0,3077.0,3072.0,3075.0,125353.31403342,385315535.917981
2026-01-10 15:25:00,3076.0,3080.0,3075.0,3079.0,47972.64474314,147688286.770273
2026-01-10 15:30:00,3079.0,3080.0,3078.0,3079.0,62087.87067073,191153534.29709476
2026-01-10 15:35:00,3078.0,3080.0,3078.0,3078.0,41234.71260447,126971108.8400266
2026-01-10 15:40:00,3078.0,3082.0,3078.0,3082.0,46264.55197,142528756.66320124
2026-01-10 15:45:00,3082.0,3084.0,3082.0,3084.0,78732.87094545,242765440.46251217
2026-01-10 15:50:00,3084.0,3085.0,3083.0,3084.0,116474.14782026,359215790.5355251
2026-01-10 15:55:00,3084.0,3084.0,3082.0,3082.0,66887.63388529,206223015.83363357
2026-01-10 16:00:00,3083.0,3086.0,3082.0,3085.0,112579.69268808,347213268.4731876
2026-01-10 16:05:00,3086.0,3088.0,3085.0,3087.0,238051.15003917,734819915.6422256
2026-01-10 16:10:00,3087.0,3091.0,3087.0,3091.0,341826.83977822,1056025993.5643137
2026-01-10 16:15:00,3091.0,3092.0,3088.0,3089.0,224014.91723544,692339555.2154284
2026-01-10 16:20:00,3089.0,3091.0,3088.0,3090.0,153176.20971942,473239547.27801466
2026-01-10 16:25:00,3091.0,3091.0,3090.0,3091.0,130078.97991544,402001359.88420534
2026-01-10 16:30:00,3090.0,3090.0,3086.0,3090.0,116445.09033095,359580875.5044056
2026-01-10 16:35:00,3090.0,3091.0,3089.0,3089.0,118813.49882302,367141655.396661
2026-01-10 16:40:00,3089.0,3090.0,3085.0,3087.0,119976.87647842,370283834.7336236
2026-01-10 16:45:00,3086.0,3089.0,3086.0,3089.0,76540.5218156,236330509.07309034
2026-01-10 16:50:00,3089.0,3091.0,3088.0,3091.0,104098.27069217,321654592.35889745
2026-01-10 16:55:00,3090.0,3093.0,3090.0,3093.0,168362.49971983,520489540.5364319
2026-01-10 17:00:00,3092.0,3095.0,3092.0,3095.0,143175.89866114,442875073.5818109
2026-01-10 17:05:00,3095.0,3098.0,3094.0,3095.0,345657.12722401,1070270076.3848416
2026-01-10 17:10:00,3095.0,3098.0,3094.0,3095.0,186933.25232773,578680159.3922721
2026-01-10 17:15:00,3096.0,3096.0,3092.0,3093.0,113131.66133786,350018180.5416798
2026-01-10 17:20:00,3094.0,3095.0,3092.0,3094.0,131802.4026924,407682806.7819356
2026-01-10 17:25:00,3093.0,3094.0,3092.0,3093.0,144255.74127054,446187751.54758155
2026-01-10 17:30:00,3093.0,3094.0,3086.0,3086.0,201416.51651505,622149845.4157263
2026-01-10 17:35:00,3087.0,3087.0,3086.0,3087.0,109308.29934742,337368807.4820895
2026-01-10 17:40:00,3087.0,3088.0,3086.0,3088.0,87567.90672543,270272980.5481776
2026-01-10 17:45:00,3088.0,3089.0,3085.0,3086.0,110351.34685835,340679607.705123
2026-01-10 17:50:00,3086.0,3086.0,3083.0,3084.0,155721.37579976,480289600.1547902
2026-01-10 17:55:00,3084.0,3089.0,3082.0,3089.0,101858.23256227,314188389.8319204
2026-01-10 18:00:00,3088.0,3089.0,3085.0,3086.0,90611.71878519,279691985.44950104
2026-01-10 18:05:00,3086.0,3090.0,3084.0,3085.0,135644.07856069,418819701.84095794
2026-01-10 18:10:00,3087.0,3087.0,3084.0,3084.0,71205.09851074,219630831.49032655
2026-01-10 18:15:00,3085.0,3088.0,3084.0,3087.0,54216.91198132,167300539.82057494
2026-01-10 18:20:00,3087.0,3089.0,3086.0,3089.0,71348.08543186,220270092.66989574
2026-01-10 18:25:00,3087.0,3090.0,3087.0,3089.0,136693.00293197,422242786.5490327
2026-01-10 18:30:00,3089.0,3089.0,3087.0,3087.0,117888.29389925,364034958.2051276
2026-01-10 18:35:00,3088.0,3093.0,3086.0,3092.0,174604.14723317,539236145.4734433
2026-01-10 18:40:00,3092.0,3093.0,3089.0,3089.0,118445.55659739,366154076.0333209
2026-01-10 18:45:00,3089.0,3095.0,3089.0,3092.0,136129.70092217,420983325.0127511
2026-01-10 18:50:00,3094.0,3095.0,3090.0,3090.0,97416.91807895,301244953.3140501
2026-01-10 18:55:00,3091.0,3093.0,3089.0,3093.0,120269.01715304,371691956.9216987
2026-01-10 19:00:00,3093.0,3094.0,3091.0,3093.0,63599.47782552,196669495.3275119
2026-01-10 19:05:00,3092.0,3093.0,3091.0,3091.0,45182.70613191,139674326.50870988
2026-01-10 19:10:00,3091.0,3092.0,3091.0,3091.0,103946.62687202,321329679.2108261
2026-01-10 19:15:00,3092.0,3093.0,3091.0,3092.0,101952.09920308,315248088.68338853
2026-01-10 19:20:00,3092.0,3093.0,3091.0,3091.0,65234.59252425,201688167.80307385
2026-01-10 19:25:00,3092.0,3094.0,3090.0,3094.0,61530.25280119,190250927.68790433
2026-01-10 19:30:00,3094.0,3096.0,3092.0,3096.0,101418.16157741,313759816.4617326
2026-01-10 19:35:00,3096.0,3097.0,3095.0,3096.0,83352.4523804,258081860.24489346
2026-01-10 19:40:00,3096.0,3098.0,3096.0,3098.0,141976.26850494,439740611.52991444
2026-01-10 19:45:00,3098.0,3101.0,3097.0,3101.0,242671.62974359,752082039.2363708
2026-01-10 19:50:00,3101.0,3104.0,3100.0,3102.0,234722.49025707,728246433.3075174
2026-01-10 19:55:00,3101.0,3103.0,3100.0,3102.0,224403.52906878,695917528.205108
2026-01-10 20:00:00,3103.0,3103.0,3097.0,3098.0,219389.2337798,680196261.0554479
2026-01-10 20:05:00,3098.0,3098.0,3093.0,3095.0,113435.43390807,351142284.4762566
2026-01-10 20:10:00,3095.0,3098.0,3094.0,3098.0,83664.08982232,259078215.38748875
2026-01-10 20:15:00,3098.0,3101.0,3097.0,3100.0,103181.75996188,319729031.3258294
2026-01-10 20:20:00,3101.0,3103.0,3100.0,3103.0,108191.92372601,335562013.6478198
2026-01-10 20:25:00,3102.0,3103.0,3100.0,3100.0,100604.83507572,312040435.0032071
2026-01-10 20:30:00,3101.0,3101.0,3100.0,3101.0,87455.41079928,271163059.52792954
2026-01-10 20:35:00,3101.0,3101.0,3095.0,3096.0,207340.48447963,642464179.4480321
2026-01-10 20:40:00,3096.0,3098.0,3094.0,3095.0,90708.69304823,280794215.47814476
2026-01-10 20:45:00,3095.0,3097.0,3094.0,3095.0,86098.75395777,266524991.0493055
2026-01-10 20:50:00,3095.0,3097.0,3093.0,3096.0,70326.84580559,217652428.58465675
2026-01-10 20:55:00,3096.0,3100.0,3095.0,3100.0,72792.42958998,225439051.81777573
2026-01-10 21:00:00,3099.0,3100.0,3097.0,3098.0,112238.56289528,347778783.2774359
2026-01-10 21:05:00,3098.0,3101.0,3098.0,3100.0,53969.63632406,167260615.56680232
2026-01-10 21:10:00,3101.0,3109.0,3100.0,3108.0,368254.65268983,1143350555.8754404
2026-01-10 21:15:00,3108.0,3109.0,3105.0,3107.0,235287.71779981,731122405.1393085
2026-01-10 21:20:00,3107.0,3107.0,3101.0,3104.0,138426.103866,429675600.2683747
2026-01-10 21:25:00,3104.0,3104.0,3102.0,3103.0,79231.39336653,245876268.95401496
2026-01-10 21:30:00,3104.0,3104.0,3101.0,3101.0,90669.50430757,281288965.6831699
2026-01-10 21:35:00,3101.0,3103.0,3101.0,3103.0,55898.10903615,173405195.965143
2026-01-10 21:40:00,3103.0,3104.0,3099.0,3100.0,154583.36791073,479422354.59165025
2026-01-10 21:45:00,3099.0,3100.0,3099.0,3099.0,77340.20906893,239691936.17102346
2026-01-10 21:50:00,3100.0,3100.0,3098.0,3099.0,108034.5022313,334792200.4512808
2026-01-10 21:55:00,3098.0,3100.0,3098.0,3099.0,88521.88530458,274321621.4813683
2026-01-10 22:00:00,3100.0,3100.0,3090.0,3090.0,361512.84004172,1119059643.9212162
2026-01-10 22:05:00,3090.0,3095.0,3090.0,3094.0,122992.21494673,380377842.04117507
2026-01-10 22:10:00,3094.0,3094.0,3091.0,3091.0,169690.29728782,524880168.3158608
